node_id,A_final
300001,1
300003,1
300005,1
300007,1
300009,1
300011,1
300013,1
300015,1
300017,1
300019,1
300021,1
300023,1
300025,1
300027,1
300029,1
300031,1
300033,1
300035,1
300037,1
300039,1
300041,1
300043,1
300045,1
300047,1
300049,1
300051,1
300053,1
300055,1
300057,1
300059,1
300061,1
300063,1
300065,1
300067,1
300069,1
300071,1
300073,1
300075,1
300077,1
300079,1
300081,1
300083,1
300085,1
300087,1
300089,1
300091,1
300093,1
300095,1
300097,1
300099,1
300101,1
300103,1
300105,1
300107,1
300109,1
300111,1
300113,1
300115,1
