,500001,500003,500005,500007,500009,600001,600003,600005,600007,600009
400001,5.75,1.362,14.096,13.028,7.956,2.556,0.866,14.651,1.196,3.327
400002,7.142,1.798,14.554,13.485,6.221,4.332,1.057,15.108,1.177,3.785
400003,6.927,0.951,15.376,14.307,5.867,4.117,1.473,15.93,1.593,4.607
400004,5.776,0.509,14.951,13.882,7.936,2.966,0.781,15.505,0.901,4.182
400005,6.951,2.305,13.133,12.065,7.043,3.636,1.338,13.688,1.253,2.364
400006,5.7,2.707,13.112,12.044,8.226,2.506,2.23,13.666,2.145,2.796
400007,4.347,2.702,15.24,14.172,9.1,1.415,2.206,15.795,2.536,4.471
400008,3.054,4.016,11.02,12.304,10.413,0.187,3.52,13.927,3.85,5.785
400009,3.694,4.015,12.938,11.87,10.176,1.249,3.52,13.492,4.095,4.746
400010,3.475,4.506,11.415,10.346,10.025,2.824,4.029,11.969,3.944,3.219
400011,3.076,6.069,8.76,9.811,11.888,3.54,5.592,11.434,5.507,4.387
400012,3.297,8.435,8.631,9.918,14.351,6.092,9.01,11.541,8.925,6.85
400013,4.821,6.188,7.905,8.766,12.278,5.285,5.711,10.389,5.626,4.777
400014,1.432,5.878,11.754,13.038,13.442,3.085,5.989,14.661,6.109,7.361
400015,9.672,4.285,19.219,18.151,11.572,8.068,5.317,19.773,5.436,8.45
400016,6.205,1.47,16.27,15.202,9.256,4.602,2.1,16.824,2.22,5.501
400017,6.624,3.365,18.027,16.959,11.013,5.021,3.857,18.581,3.977,7.258
400018,7.233,4.081,18.744,17.675,11.729,5.737,4.574,19.298,4.694,7.975
400019,7.288,5.79,16.855,19.495,14.347,7.294,6.394,21.118,6.513,9.794
400020,6.08,9.059,18.366,17.054,16.707,8.098,9.552,18.676,9.672,12.952
400021,7.632,3.053,13.265,12.196,6.436,4.128,2.126,13.819,2.041,2.261
400022,8.587,3.14,14.775,13.707,5.307,5.273,2.399,13.198,2.384,2.917
400023,9.277,4.507,14.91,13.842,5.146,5.773,3.771,12.102,3.686,2.378
400024,9.745,4.297,15.933,14.864,4.041,6.43,3.556,13.769,3.541,4.175
400025,11.865,6.417,17.606,17.77,1.927,8.55,5.676,11.53,5.662,6.086
400026,8.869,5.432,14.502,13.433,5.465,6.059,4.057,11.23,3.972,2.415
400027,6.456,4.48,12.088,11.02,7.643,5.063,3.105,12.643,3.021,0.775
400028,5.198,6.881,10.831,9.762,9.356,5.662,5.506,8.877,5.421,1.868
400029,8.548,7.714,14.366,15.625,5.97,9.012,6.34,9.385,6.255,2.942
400030,6.977,8.659,9.757,8.689,11.123,7.441,7.285,7.988,7.2,4.146
400031,10.594,4.018,18.541,17.472,4.444,8.991,3.639,17.333,3.758,7.772
400032,11.24,5.792,17.427,16.359,2.101,7.925,5.051,14.99,5.036,6.658
400033,12.043,6.595,18.23,17.162,4.29,8.728,5.854,17.178,5.839,7.461
400034,12.21,6.762,18.398,17.329,2.466,8.895,6.021,15.354,6.007,7.629
400035,11.669,13.351,2.782,2.427,19.617,12.133,11.977,6.598,11.892,9.817
400036,10.503,12.186,4.345,3.276,16.152,10.967,10.811,4.314,10.727,8.652
400037,11.273,12.956,4.65,3.582,18.654,11.737,11.581,3.601,11.496,9.421
400038,11.299,12.982,6.974,5.534,15.761,11.763,11.607,2.637,11.522,9.447
400039,13.771,15.454,7.853,5.683,14.131,14.235,14.079,1.007,13.994,11.919
400040,18.488,20.17,10.06,7.889,14.684,18.952,18.796,3.599,18.711,13.477
400041,8.678,11.263,2.631,4.553,17.178,9.142,11.837,8.724,11.752,9.678
400042,8.402,10.084,6.77,5.702,14.05,8.865,8.709,5.142,8.625,6.55
400043,7.878,9.561,7.659,6.59,12.558,8.342,8.186,5.842,8.101,6.026
400044,12.32,17.068,1.119,3.606,21.086,12.784,15.694,9.661,15.609,13.534
400045,18.15,19.833,6.584,5.456,24.708,18.614,18.458,11.689,18.373,16.298
400046,23.446,25.128,11.88,10.751,30.003,23.91,23.754,16.984,23.669,21.594
400047,20.217,24.966,8.959,15.623,28.983,20.681,23.591,21.856,23.506,21.431
400048,30.935,32.617,19.369,18.24,37.492,31.399,31.243,24.474,31.158,29.083
400049,28.105,29.787,16.539,15.41,34.662,28.569,28.413,21.644,28.328,26.253
400050,24.813,26.495,13.247,12.118,31.37,25.277,25.121,18.352,25.036,22.961
400051,4.223,9.926,10.122,11.41,15.842,7.583,10.501,13.032,10.416,8.341
400052,12.049,6.662,21.596,20.528,9.785,10.446,7.694,22.151,7.814,10.827
400053,17.861,12.475,27.409,26.34,19.762,16.258,13.506,27.963,13.626,16.64
400054,11.836,6.45,21.384,20.315,13.737,10.233,7.481,21.938,7.601,10.615
400055,55.235,60.5,75.434,74.365,67.787,64.283,61.531,75.988,61.651,64.665
400056,31.1,34.079,43.386,42.074,41.727,33.118,34.572,43.696,34.692,37.972
400057,16.671,19.651,28.957,27.645,27.299,18.69,20.143,29.268,20.263,23.544
400058,27.172,21.786,36.72,35.651,29.073,25.569,22.817,37.274,22.937,25.95
